learning_rate,max_depth,min_samples_leaf,max_leaf_nodes,accuracy,logloss
0.03,4,20,31,0.5315231541751906,0.980803276696152
0.03,4,20,62,0.5315231541751906,0.980803276696152
0.03,4,30,31,0.530221312999814,0.9808636288948185
0.03,4,30,62,0.530221312999814,0.9808636288948185
0.03,4,40,31,0.5307792449321183,0.9806318683546289
0.03,4,40,62,0.5307792449321183,0.9806318683546289
0.03,6,20,31,0.5283615398921332,0.9828108887362259
0.03,6,20,62,0.527989585270597,0.9841378263134309
0.03,6,30,31,0.5285475172029013,0.9823172653796439
0.03,6,30,62,0.5281755625813651,0.983843325439234
0.03,6,40,31,0.5296633810675098,0.9821810467340505
0.03,6,40,62,0.5272456760275246,0.9837733053683655
0.03,8,20,31,0.5274316533382928,0.9835321064134208
0.03,8,20,62,0.5253859029198438,0.9851709704375976
0.03,8,30,31,0.5313371768644225,0.9821164317952533
0.03,8,30,62,0.5272456760275246,0.5272456760275246
0.03,8,40,31,0.5292914264459736,0.9824323309829651
0.03,8,40,62,0.5285475172029013,0.9842879342386353
0.06,4,20,31,0.5309652222428863,0.9809902585979592
0.06,4,20,62,0.5309652222428863,0.9809902585979592
0.06,4,30,31,0.5300353356890459,0.9808214495298501
0.06,4,30,62,0.5300353356890459,0.9808214495298501
0.06,4,40,31,0.5318951087967267,0.9803969886426914
0.06,4,40,62,0.5318951087967267,0.9803969886426914
0.06,6,20,31,0.5281755625813651,0.9837923500882763
0.06,6,20,62,0.5265017667844523,0.9849248674624407
0.06,6,30,31,0.5294774037567417,0.983088490489495
0.06,6,30,62,0.5274316533382928,0.9841273654286303
0.06,6,40,31,0.5274316533382928,0.9828240173564802
0.06,6,40,62,0.5272456760275246,0.9853925370599742
0.06,8,20,31,0.5281755625813651,0.9856259889569399
0.06,8,20,62,0.5272456760275246,0.9865074922377115
0.06,8,30,31,0.5291054491352055,0.9829832753512733
0.06,8,30,62,0.5287334945136694,0.9850844542833014
0.06,8,40,31,0.527803607959829,0.9835765502223598
0.06,8,40,62,0.527989585270597,0.9849888851599496
0.1,4,20,31,0.5320810861074949,0.9817081296345146
0.1,4,20,62,0.5320810861074949,0.9817081296345146
0.1,4,30,31,0.5305932676213502,0.981507757052134
0.1,4,30,62,0.5305932676213502,0.981507757052134
0.1,4,40,31,0.5313371768644225,0.9810308034436939
0.1,4,40,62,0.5313371768644225,0.9810308034436939
0.1,6,20,31,0.5294774037567417,0.9851453314240796
0.1,6,20,62,0.5270596987167565,0.9856680813808797
0.1,6,30,31,0.5294774037567417,0.982375134689681
0.1,6,30,62,0.5240840617444672,0.9863105159027223
0.1,6,40,31,0.5289194718244374,0.9844717918222995
0.1,6,40,62,0.5283615398921332,0.9863297246675197
0.1,8,20,31,0.5291054491352055,0.9853896741419396
0.1,8,20,62,0.5250139482983076,0.9891213429697833
0.1,8,30,31,0.5298493583782778,0.9825409281061955
0.1,8,30,62,0.5225962432583224,0.9899228012794005
0.1,8,40,31,0.5292914264459736,0.985168793932599
0.1,8,40,62,0.5225962432583224,0.9888377538359315